ID	Name	Level	Examine
512	Fur trader	0	I wonder what he does with all that fur?
513	Fur trader	0	Knows how to keep warm in the winter.
514	Fycie	0	This must be Rantz's daughter.
515	G.L.O. Caranock	0	An official looking Gnome with small beady eyes.
516	Gaius	0	"Ironically, makes a living from swords."
517	Galahad	0	A former Knight of the Round Table.
518	Gardener Ghost	0	He must find gardening difficult since the accident.
519	Gardener Gunnhild	0	She's looking a bit weedy.
521	Gargh	0	An ogre hunting chompies.
523	Garkor	0	A large and weathered looking Gnome veteran.
524	Garv	0	A diligent guard.
525	Gauss	0	"A beer drinking dwarf that is, for once, not totally drunk."
526	Gee	0	A local farmer. He may be able to provide some useful information.
527	Gem merchant	0	Seems very well off.
528	Gem trader	0	Makes his money selling rocks.
529	General Bentnoze	0	An ugly green creature.
530	General Hining	0	Leader of King Tyras's men.
532	General Wartface	0	An ugly green creature.
533	Genie	0	Maybe he'll grant me a wish...
534	Gerald	0	Looks suspiciously like a fisherman.
535	Gerrant	0	An expert on fishing.
536	Gertrude	0	A busy housewife.
537	Gertrude's cat	0	A friendly feline?
538	Ghast	0	Arrghhh... A Ghast.
541	Ghost Banker	0	A ghost banker.
542	Ghost Captain	0	A Ghostship Captain.
543	Ghost Disciple	0	A ghost disciple.
544	Ghost Farmer	0	A spooky ghost farmer.
545	Ghost Guard	0	This ghost guards the gates of Port Phasmatys.
546	Ghost Innkeeper	0	Doesn't look like the bar's open anymore.
547	Ghost Sailor	0	A ghost sailor.
548	Ghost Shopkeeper	0	Beware the ghostly shopkeeper's wares!
549	Ghost Villager	0	A spooky ghost villager.
555	Giant bat	0	Annoying flappy thing.
566	Glough	0	A rough looking gnome.
567	Gnome ball referee	0	Keeps the game fair.
568	Gnome baller	0	A professional gnome baller.
569	Gnome banker	0	Banks gnomish things.
571	Gnome emissary	0	Apparantly negotiating some business with the Red Axe.
573	Gnome pilot	0	He can fly the glider.
574	Gnome shop keeper	0	Sells gnomish things.
575	Gnome trainer	0	He can advise on training.
576	Gnome traveller	0	"A gnome traveller, visiting Keldagrim."
579	Gnome Waiter	0	He can serve you gnome food.
580	Gnome winger	0	A professional gnome baller.
586	Gnormadium Avlafrim	0	Enthusiastic gnome construction engineer.
591	Godric	0	Dunstan's son.
592	Golden sheep	0	Freshly shorn.
593	Golden sheep	0	Lovely thick wool.
595	Golrie	0	It's a tree gnome
596	Golrie	0	No longer locked in his own cage.
599	Gossip	0	One of those people who love to gossip!
600	Grail Maiden	0	She looks serene.
601	Grandpa Jack	0	He looks elderly.
603	Gravingas	0	This ghost looks quite rebellious.
606	Green Gemstone Director	0	"One of the leaders of the business Consortium, a ruler of Keldagrim."
607	Green Gemstone Secretary	0	The head secretary of the Green Gemstone mining company.
608	Greengrocer	0	At least he eats his greens.
609	Greldo	0	An ugly green creature.
610	Grew	0	Very probably an ogre.
612	Grish	0	An ogre shaman
616	Grubor	0	A rough looking thief.
617	Grug	0	They're done for!
618	Gruh	0	An ogre hunting chompies.
619	Grum	0	Loves his gold!
622	Guard	0	An officer of the Law.
623	Guard	0	He seems to be guarding a pile of rocks. Interesting job.
624	Guard	0	He seems to be guarding a single rock. Interesting job.
625	Guard	0	He tries to keep order around here.
626	Guard	0	He's guarding the goutweed.
627	Guard	0	He's guarding the storeroom.
628	Guard	0	He's guarding the throne room.
629	Guard	0	On special duty to protect the Carnilleans.
630	Guard	0	Stands around and looks at stuff all day.
631	Guard	0	Stands around and looks tough all day.
640	Guidor	0	He's not that ill.
641	Guidor's wife	0	She looks rather concerned.
642	Guild master	0	Master of the guild.
643	Gujuo	0	"A dark, charismatic jungle native."
644	Gull	0	A sea bird.
645	Gulldamar	0	He has lots of silver on display. And only silver.
646	Gulluck	0	He sells weapons.
647	Gundai	0	He must get lonely out here.
648	Gunnjorn	0	He maintains this agility course
649	Gunslik	0	Proprietor of Gunslik's Assorted Items.
652	Gypsy	0	An old gypsy lady.
653	H.A.M. Deacon	0	A deacon in the Humans Against Monsters group. A rather enthusiastic chap.
657	H.A.M. Member	0	A member of the 'Humans Against Monsters' group.
658	Hadley	0	Could do with losing a bit of weight.
659	Haera	0	A bickering old dwarf.
660	Hafuba	0	"A huge gorilla, head priest of this temple."
661	Hairdresser	0	Anyone fancy a trim?
662	Hajedy	0	"A cart driver, it looks like he's quite experienced."
665	Hamab	0	A female monkey skilled in crafting.
666	Hamal the Chieftain	0	The chieftain of the mountain camp.
667	Hamid	0	A holy man.
669	Hammerspike Stoutbeard	0	He looks quite independent in an aggressive and business like way.
670	Hans	0	Servant of the Duke of Lumbridge.
671	Harold Evans	0	Hot headed big built youth who trained in the militia.
672	Harold	0	An off-duty Burthorpe Castle guard.
673	Harry	0	Something fishy about him.
674	Hassan	0	The chancellor to the Emir.
675	Haze	0	A strange disturbance in the air.
678	Hazelmere	0	An ancient looking gnome.
679	Head chef	0	"Despite his name, rarely actually cooks heads."
680	Head mourner	0	In charge of people with silly outfits.
682	Heckel Funch	0	It's another jolly tree gnome.
683	Hegir	0	A bickering old dwarf.
684	Helemos	0	A retired hero.
687	Hengrad	0	He looks mistreated and weak.
688	Henryeta Carnillean	0	Ceril Carnilleans' wife.
690	Herquin	0	Seems very well-off.
691	Hervi	0	"A gem stall owner, with goods from the deepest of mines."
693	Hetty	0	An old motherly witch with a curious smile and a hooked nose.
694	Hickton	0	A master fletcher.
695	High Priest	0	A very priestly man.
696	High Priest	0	High Priest of Entrana.
698	Hild	0	Pretty young woman with an air of mystery around her.
700	Hobbes	0	He looks kind of stuck up...
703	Hole in the wall	0	What could be hiding in that crack in the wall?
704	Holgart	0	A very good sailor.
705	Hollow tree	0	It's hollow...
707	Hops	0	He's drunk.
708	Horacio	0	Could do with losing a few pounds.
709	Horvik	0	The man with the armour.
710	Hudo	0	It's another jolly tree gnome.
711	Hudon	0	Looks young.
713	Ian	0	A very brave merchant.
715	Ice block	0	A troll frozen in a block of ice.
719	Ice troll	0	An ice troll.
729	Icthlarin	0	A jackal headed demi-god.
730	Idris	0	An elven hunting party leader.
731	Ifaba	0	A general store type of monkey.
732	Ilfeen	0	A female elf.
733	Ima	0	A citizen of Al-Kharid.
739	Inn Keeper	0	A keeper of the Inn.
740	Inn Keeper	0	"A rich landlord, fat and jolly."
741	Innocent looking key	0	A shiny key sitting quietly on a crate.
743	Irena	0	A resident of Al-Kharid.
744	Irksol	0	Is he invisible or just a set of floating clothing?
747	Irwin Feaselbaum	0	A young assistant necromancer.
748	Islwyn	0	An elven bowyer.
749	Ivan Strom	0	A member of the Myreque and an aspiring young priest.
751	Jadid	0	A citizen of Al-Kharid.
754	Jaraah	0	Has the messy job of putting players back together again.
755	Jatix	0	He runs the Herblore Shop.
756	Jeed	0	A citizen of Al-Kharid.
764	Jeremy Servil	0	A young squire. He looks worse for wear.
765	Jerico	0	He looks friendly enough.
766	Jethick	0	A cynical old man.
767	Jiminua	0	Goods for sale and trade!
768	Jimmy the Chisel	0	A young man with a dark and mysterious past.
769	Joe	0	A fightslave. He looks mistreated and weak.
770	Joe	0	Lady Keli's head guard.
772	Johanhus Ulsbrecht	0	The leader of the 'Humans Against Monsters' group.
773	Johnathon	0	A well dressed nobleman.
774	Jokul	0	He seems to be minding the goats.
776	Joshua	0	He loves to fish!
777	Jossik	0	Apparently he keeps a lighthouse.
778	Jossik	0	Looks like he's in trouble...
779	Jukat	0	A being from a mysterious other realm.
780	Juliet	0	"A tearful damsel, maybe I can help her?"
781	Juna	0	An ancient giant serpent.
783	Jungle Forester	0	He deals in exotic types of wood.
784	Jungle Forester	0	She deals in exotic types of wood.
789	Jungle Tree	0	This is a fairly tall tree with sparse foliage.
791	Justin Servil	0	Jeremy's father Sir Servil.
792	Kaleb Paramaya	0	This is Kaleb Paramaya - a warm and friendly inn owner.
794	Kalphite Larva	0	I don't think insect repellent will work...
799	Kalron	0	He looks lost.
800	Kamen	0	This dwarf looks intoxicated.
802	Kanel	0	One of Gertrude's sons.
803	Kangai Mau	0	A happening kind of guy!
804	Kaqemeex	0	A wise druid.
805	Karam	0	All you see is a glimmer of light and the suggestion of shadow.
806	Kardia	0	A dark and evil crone.
808	Karim	0	Kebabs are full of meaty goodness!
809	Karl	0	"A short, merry guy."
810	Katrine	0	An empowered woman.
811	Kazgar	0	He's standing guard.
812	Kelvin	0	A fightslave. He looks mistreated and weak.
813	Kennith	0	He looks very scared.
814	Kent	0	He looks very tired and hungry.
815	Kharid Scorpion	0	Looks vicious!
816	Khazard barman	0	A tough looking barman.
824	"Khorvak, a dwarven engineer"	0	The little guy is having trouble standing up right.
825	Kilron	0	He looks shifty.
826	King Arthur	0	Legendary King of the Britons.
828	King Bolren	0	It's a gnome.  He looks important.
829	King Lathas	0	King Lathas of East Ardougne.
830	King Narnode Shareen	0	An important looking gnome.
831	King Percival	0	A former Knight of the Round Table.
832	King Roald	0	Varrock's resident monarch.
835	King Vargas	0	He's in no state to rule a kingdom.
836	Kings messenger	0	One of King Lathas' messengers.
837	Kitten	0	A friendly little pet.
838	Kitten	0	It looks lost.
839	Kjut	0	His kebabs certainly smell delicious.
840	Klank	0	A dwarven maker of gauntlets.
841	Klarense	0	A young sailor.
842	Klenter	0	A rather transparent character.
845	Knight	0	You'd need a tin opener to get him out.
846	Koftik	0	The cave guide.
847	Kolodion	0	He runs the mage arena.
848	Kolodion	0	He's a shape shifter.
850	Kortan	0	He helps to run the adventurers' shop.
851	Koschei the deathless	0	Your challenge awaits!
856	Lady Keli	0	An infamous bandit.
857	Lady Servil	0	She looks wealthy.
858	Lady Table	0	An observer for the Temple Knights.
859	Lalli	0	Distinctly troll shaped.
860	Lanthus	0	He must run this place.
863	Larrissa	0	A fremennik girl.
864	Larry	0	A very brave merchant.
865	Leatherworker	0	An expert leatherworker.
867	Leela	0	She comes from Al-Kharid.
868	Legends Guard	0	"A Legends Guild Guard, he protects the entrance to the Legends Guild."
872	Librarian	0	He takes care of the library and its many books.
873	Light creature	0	A shimmering creature of blue light.
874	Light creature	0	That one is carrying someone!
875	Linen Worker	0	A dedicated follower of fashion.
877	Loading crane	0	Those are some of the biggest teeth I've ever seen.
880	Local Gnome	0	It's a young tree gnome.
881	Local	0	A scruffy looking chap.
883	Lofu	0	"A small, well dressed monkey clasping a mace. He looks like a priest."
884	Longhall Bouncer	0	"He's fat, he's round, he bounces on the ground. That's how he got the job."
885	Lord Daquarius	0	Wears a stylish suit of armour.
886	Lord Iban	0	The great and dreadful Lord Iban
887	Lord Iorwerth	0	An elf lord.
888	Lord Rologarth	0	It looks like he has got his castle back at last.
889	Louie Legs	0	For the finest in armoured legware.
890	Louisa	0	She looks like she enjoys her job.
891	Lowe	0	Sells arrows.
892	Lubufu	0	A crotchety old fisherman who doesn't like young whippersnappers.
893	Lucien	0	He walks with a slight limp.
895	Lucy	0	Pretty barmaid.
896	Lumberjack Leif	0	"He's a lumberjack, and he's okay."
897	Lumbridge Guide	0	He provides new players with useful information.
898	Lumdo	0	A seasoned looking Gnome foot soldier.
899	Lumo	0	A seasoned looking Gnome foot soldier.
900	Lundail	0	He sells rune stones.
901	Lunderwin	0	Smells strangely of cabbage.
902	Luthas	0	The owner of the banana plantation.
903	Mad skavid	0	Looks mad.
904	Mage of Zamorak	0	A disciple of Zamorak.
906	Magic Instructor	0	A Master of Magics.
907	Magic Store owner	0	A Supplier of Magical items.
908	Magic tree	0	The tree shimmers with a magical force.
909	Make-over mage	0	Master of the mystical make-over.
910	Malak	0	One of Morytania's vampiric nobility.
911	Male slave	0	It looks like he's been here a long time.
913	Man	0	A well dressed nobleman.
914	Man	0	One of RuneScape's many citizens.
919	Manni the Reveller	0	Every innkeeper's best friend!
920	Maple tree	0	I bet this makes good syrup!
923	Market seller	0	A market stall keeper.
924	Martha Rehnison	0	A fairly poor looking woman.
925	Martin Thwait	0	A loveable rogue.
926	Mary	0	She looks very nervous...
927	Master Chef	0	An expert on all things culinary.
928	Master Crafter	0	He's in charge of the Crafting Guild.
929	Master Farmer	0	A master at farming.
930	Master fisher	0	The man in charge of the fishing guild.
932	Mazchna	0	He looks dangerous!
934	Megan	0	Pretty barmaid.
936	Menaphite Leader	0	Leader of the Menaphites.
940	Merlin	0	A powerful Wizard of the Knights of the Round Table.
941	Milli Rehnison	0	She doesn't seem very happy.
942	Mime	0	A mute performer.
943	Mine cart driver	0	He looks busy attending to his cart.
944	Mine cart	0	"Big, metal, and wheeled."
945	Miner Magnus	0	He's just mining his own business.
946	Mining Instructor	0	An expert on mining related skills.
947	Miodvetnir	0	He seems deeply engaged in conversation with his fellow boatmen.
948	Mischievous Ghost	0	That ghost looks like he's up to something.
949	Miss Cheevers	0	An observer for the Temple Knights.
950	Mist	0	A billowing cloud of fine mist...it looks creepy.
952	Mistag	0	He looks like he's in charge of the miners.
954	Monk of Entrana	0	Holy looking.
959	Monk	0	He looks holy.
